date,time,temperature
6/5/18,23:57:23,25.875
6/5/18,23:58:24,25.875
6/5/18,23:59:25,25.875
6/6/18,0:00:26,25.875
6/6/18,0:01:27,25.875
6/6/18,0:02:28,25.875
6/6/18,0:03:29,25.937
6/6/18,0:04:30,25.875
6/6/18,0:05:31,25.812
6/6/18,0:06:32,25.812
6/6/18,0:07:33,25.812
6/6/18,0:08:34,25.812
6/6/18,0:09:35,25.75
6/6/18,0:10:36,25.75
6/6/18,0:11:37,25.75
6/6/18,0:12:38,25.75
6/6/18,0:13:39,25.75
6/6/18,0:14:40,25.812
6/6/18,0:15:41,25.812
6/6/18,0:16:41,25.812
6/6/18,0:17:42,25.812
6/6/18,0:18:43,25.812
6/6/18,0:19:44,25.687
6/6/18,0:20:45,25.687
6/6/18,0:21:46,25.687
6/6/18,0:22:47,25.625
6/6/18,0:23:48,25.687
6/6/18,0:24:49,25.75
6/6/18,0:25:50,25.625
6/6/18,0:26:51,25.062
6/6/18,0:27:52,24.937
6/6/18,0:28:53,24.937
6/6/18,0:29:54,24.875
6/6/18,0:30:55,25
6/6/18,0:31:56,25
6/6/18,0:32:57,25.125
6/6/18,0:33:58,25.25
6/6/18,0:34:59,25.312
6/6/18,0:36:00,25.25
6/6/18,0:37:01,25.312
6/6/18,0:38:01,25.375
6/6/18,0:39:02,25.437
6/6/18,0:40:03,25.437
6/6/18,0:41:04,25.437
6/6/18,0:42:05,25.5
6/6/18,0:43:06,25.5
6/6/18,0:44:07,25.562
6/6/18,0:45:08,25.562
6/6/18,0:46:09,25.562
6/6/18,0:47:10,25.625
6/6/18,0:48:11,25.625
6/6/18,0:49:12,25.625
6/6/18,0:50:13,25.625
6/6/18,0:51:14,25.625
6/6/18,0:52:15,25.562
6/6/18,0:53:16,25.625
6/6/18,0:54:17,25.625
6/6/18,0:55:18,25.687
6/6/18,0:56:19,25.625
6/6/18,0:57:19,25.625
6/6/18,0:58:20,25.625
6/6/18,0:59:21,25.625
6/6/18,1:00:22,25.625
6/6/18,1:01:23,25.625
6/6/18,1:02:24,25.625
6/6/18,1:03:25,25.625
6/6/18,1:04:26,25.625
6/6/18,1:05:27,25.687
6/6/18,1:06:28,25.625
6/6/18,1:07:29,25.687
6/6/18,1:08:30,25.687
6/6/18,1:09:31,25.625
6/6/18,1:10:32,25.687
6/6/18,1:11:33,25.687
6/6/18,1:12:34,25.687
6/6/18,1:13:35,25.687
6/6/18,1:14:36,25.687
6/6/18,1:15:37,25.75
6/6/18,1:16:38,25.687
6/6/18,1:17:39,25.687
6/6/18,1:18:39,25.687
6/6/18,1:19:40,25.687
6/6/18,1:20:41,25.687
6/6/18,1:21:42,25.75
6/6/18,1:22:43,25.687
6/6/18,1:23:44,25.75
6/6/18,1:24:45,25.812
6/6/18,1:25:46,25.75
6/6/18,1:26:47,25.75
6/6/18,1:27:48,25.687
6/6/18,1:28:49,25.75
6/6/18,1:29:50,25.75
6/6/18,1:30:51,25.75
6/6/18,1:31:52,25.75
6/6/18,1:32:53,25.812
6/6/18,1:33:54,25.812
6/6/18,1:34:55,25.812
6/6/18,1:35:56,25.812
6/6/18,1:36:57,25.75
6/6/18,1:37:58,25.75
6/6/18,1:38:59,25.75
6/6/18,1:39:59,25.75
6/6/18,1:41:00,25.75
6/6/18,1:42:01,25.75
6/6/18,1:43:02,25.75
6/6/18,1:44:03,25.75
6/6/18,1:45:04,25.812
6/6/18,1:46:05,25.75
6/6/18,1:47:06,25.75
6/6/18,1:48:07,25.75
6/6/18,1:49:08,25.75
6/6/18,1:50:09,25.75
6/6/18,1:51:10,25.75
6/6/18,1:52:11,25.687
6/6/18,1:53:12,25.812
6/6/18,1:54:13,25.687
6/6/18,1:55:14,25.437
6/6/18,1:56:15,25.312
6/6/18,1:57:16,25.437
6/6/18,1:58:17,25.5
6/6/18,1:59:18,25.625
6/6/18,2:00:19,25.687
6/6/18,2:01:19,25.687
6/6/18,2:02:20,25.75
6/6/18,2:03:21,25.687
6/6/18,2:04:22,25.062
6/6/18,2:05:23,25.062
6/6/18,2:06:24,25.187
6/6/18,2:07:25,25.25
6/6/18,2:08:26,25.25
6/6/18,2:09:27,25.375
6/6/18,2:10:28,25.562
6/6/18,2:11:29,25.5
6/6/18,2:12:30,25.5
6/6/18,2:13:31,25.562
6/6/18,2:14:32,25.5
6/6/18,2:15:33,25.562
6/6/18,2:16:34,25.625
6/6/18,2:17:35,25.625
6/6/18,2:18:36,25.562
6/6/18,2:19:37,25.562
6/6/18,2:20:38,25.625
6/6/18,2:21:39,25.625
6/6/18,2:22:39,25.625
6/6/18,2:23:40,25.625
6/6/18,2:24:41,25.625
6/6/18,2:25:42,25.625
6/6/18,2:26:43,25.625
6/6/18,2:27:44,25.562
6/6/18,2:28:45,25.625
6/6/18,2:29:46,25.562
6/6/18,2:30:47,25.562
6/6/18,2:31:48,25.625
6/6/18,2:32:49,25.625
6/6/18,2:33:50,25.562
6/6/18,2:34:51,25.625
6/6/18,2:35:52,25.625
6/6/18,2:36:53,25.625
6/6/18,2:37:54,25.562
6/6/18,2:38:55,25.562
6/6/18,2:39:56,25.625
6/6/18,2:40:57,25.625
6/6/18,2:41:58,25.562
6/6/18,2:42:59,25.625
6/6/18,2:43:59,25.625
6/6/18,2:45:00,25.562
6/6/18,2:46:01,25.625
6/6/18,2:47:02,25.625
6/6/18,2:48:03,25.625
6/6/18,2:49:04,25.625
6/6/18,2:50:05,25.625
6/6/18,2:51:06,25.625
6/6/18,2:52:07,25.687
6/6/18,2:53:08,25.625
6/6/18,2:54:09,25.625
6/6/18,2:55:10,25.625
6/6/18,2:56:11,25.687
6/6/18,2:57:12,25.687
6/6/18,2:58:13,25.687
6/6/18,2:59:14,25.687
6/6/18,3:00:15,25.75
6/6/18,3:01:16,25.687
6/6/18,3:02:17,25.75
6/6/18,3:03:18,25.75
6/6/18,3:04:18,25.687
6/6/18,3:05:19,25.75
6/6/18,3:06:20,25.75
6/6/18,3:07:21,25.75
6/6/18,3:08:22,25.75
6/6/18,3:09:23,25.75
6/6/18,3:10:24,25.687
6/6/18,3:11:25,25.75
6/6/18,3:12:26,25.687
6/6/18,3:13:27,25.75
6/6/18,3:14:28,25.75
6/6/18,3:15:29,25.75
6/6/18,3:16:30,25.75
6/6/18,3:17:31,25.75
6/6/18,3:18:32,25.75
6/6/18,3:19:33,25.75
6/6/18,3:20:34,25.75
6/6/18,3:21:35,25.812
6/6/18,3:22:36,25.812
6/6/18,3:23:37,25.75
6/6/18,3:24:38,25.75
6/6/18,3:25:38,25.812
6/6/18,3:26:39,25.875
6/6/18,3:27:40,25.812
6/6/18,3:28:41,25.812
6/6/18,3:29:42,25.812
6/6/18,3:30:43,25.812
6/6/18,3:31:44,25.812
6/6/18,3:32:45,25.875
6/6/18,3:33:46,25.875
6/6/18,3:34:47,25.812
6/6/18,3:35:48,25.875
6/6/18,3:36:49,25.812
6/6/18,3:37:50,25.875
6/6/18,3:38:51,25.875
6/6/18,3:39:52,25.875
6/6/18,3:40:53,25.937
6/6/18,3:41:54,25.937
6/6/18,3:42:55,25.875
6/6/18,3:43:56,25.875
6/6/18,3:44:57,25.875
6/6/18,3:45:58,25.875
6/6/18,3:46:59,25.875
6/6/18,3:47:59,25.875
6/6/18,3:49:00,25.937
6/6/18,3:50:01,25.875
6/6/18,3:51:02,25.875
6/6/18,3:52:03,25.937
6/6/18,3:53:04,25.937
6/6/18,3:54:05,25.937
6/6/18,3:55:06,25.937
6/6/18,3:56:07,25.937
6/6/18,3:57:08,25.937
6/6/18,3:58:09,25.937
6/6/18,3:59:10,25.937
6/6/18,4:00:11,25.937
6/6/18,4:01:12,26
6/6/18,4:02:13,25.937
6/6/18,4:03:14,25.937
6/6/18,4:04:15,25.937
6/6/18,4:05:16,26
6/6/18,4:06:17,25.937
6/6/18,4:07:18,25.937
6/6/18,4:08:19,26
6/6/18,4:09:19,26
6/6/18,4:10:20,26.062
6/6/18,4:11:21,26.062
6/6/18,4:12:22,26
6/6/18,4:13:23,25.937
6/6/18,4:14:24,26
6/6/18,4:15:25,26
6/6/18,4:16:26,26.062
6/6/18,4:17:27,26.125
6/6/18,4:18:28,26
6/6/18,4:19:29,26.062
6/6/18,4:20:30,26.062
6/6/18,4:21:31,26.062
6/6/18,4:22:32,26
6/6/18,4:23:33,26
6/6/18,4:24:34,26
6/6/18,4:25:35,25.937
6/6/18,4:26:36,26
6/6/18,4:27:37,25.937
6/6/18,4:28:38,26
6/6/18,4:29:39,26
6/6/18,4:30:39,26
6/6/18,4:31:40,26
6/6/18,4:32:41,25.875
6/6/18,4:33:42,25.875
6/6/18,4:34:43,25.875
6/6/18,4:35:44,25.937
6/6/18,4:36:45,25.937
6/6/18,4:37:46,26
6/6/18,4:38:47,25.937
6/6/18,4:39:48,26
6/6/18,4:40:49,26
6/6/18,4:41:50,25.937
6/6/18,4:42:51,25.937
6/6/18,4:43:52,26
6/6/18,4:44:53,26
6/6/18,4:45:54,25.937
6/6/18,4:46:55,26.062
6/6/18,4:47:56,26
6/6/18,4:48:57,26
6/6/18,4:49:58,26.062
6/6/18,4:50:59,26.125
6/6/18,4:51:59,26.062
6/6/18,4:53:00,26.062
6/6/18,4:54:01,26.062
6/6/18,4:55:02,26.062
6/6/18,4:56:03,26.062
6/6/18,4:57:04,26.062
6/6/18,4:58:05,26
6/6/18,4:59:06,26.062
6/6/18,5:00:07,26
6/6/18,5:01:08,26
6/6/18,5:02:09,26
6/6/18,5:03:10,25.937
