2018-05-22,02:25:45,28.0
2018-05-22,02:25:51,28.0
2018-05-22,02:25:57,28.0
2018-05-22,02:26:03,28.0
2018-05-22,02:26:08,28.062
2018-05-22,02:26:14,28.062
2018-05-22,02:26:20,28.062
2018-05-22,02:26:26,28.062
2018-05-22,02:26:32,28.062
2018-05-22,02:26:38,28.125
2018-05-22,02:26:44,28.125
2018-05-22,02:26:50,28.125
2018-05-22,02:26:56,28.125
2018-05-22,02:27:02,28.187
2018-05-22,02:27:08,28.187
2018-05-22,02:27:14,28.25
2018-05-22,02:27:20,28.25
2018-05-22,02:27:25,28.25
2018-05-22,02:27:31,28.25
2018-05-22,02:27:37,28.25
2018-05-22,02:27:43,28.25
2018-05-22,02:27:49,28.25
2018-05-22,02:27:55,28.312
2018-05-22,02:28:01,28.312
2018-05-22,02:28:07,28.312
2018-05-22,02:28:13,28.312
2018-05-22,02:28:19,28.312
2018-05-22,02:28:25,28.312
2018-05-22,02:28:31,28.25
2018-05-22,02:28:36,28.25
2018-05-22,02:28:42,28.312
2018-05-22,02:28:48,28.25
2018-05-22,02:28:54,28.25
2018-05-22,02:29:00,28.25
2018-05-22,02:29:06,28.25
2018-05-22,02:29:12,28.25
2018-05-22,02:29:18,28.25
2018-05-22,02:29:24,28.25
2018-05-22,02:29:30,28.25
2018-05-22,02:29:36,28.25
2018-05-22,02:29:42,28.25
2018-05-22,02:29:48,28.25
2018-05-22,02:29:53,28.25
2018-05-22,02:29:59,28.25
2018-05-22,02:30:05,28.312
2018-05-22,02:30:11,28.312
2018-05-22,02:30:17,28.312
2018-05-22,02:30:23,28.312
2018-05-22,02:30:29,28.312
2018-05-22,02:30:35,28.312
2018-05-22,02:30:41,28.375
2018-05-22,02:30:47,28.375
2018-05-22,02:30:53,28.375
2018-05-22,02:30:59,28.375
2018-05-22,02:31:04,28.375
2018-05-22,02:31:10,28.375
2018-05-22,02:31:16,28.375
2018-05-22,02:31:22,28.375
2018-05-22,02:31:28,28.437
2018-05-22,02:31:34,28.437
2018-05-22,02:31:40,28.437
2018-05-22,02:31:46,28.437
2018-05-22,02:31:52,28.437
2018-05-22,02:31:58,28.437
2018-05-22,02:32:04,28.437
2018-05-22,02:32:10,28.375
2018-05-22,02:32:16,28.375
2018-05-22,02:32:21,28.312
2018-05-22,02:32:27,28.312
2018-05-22,02:32:33,28.312
2018-05-22,02:32:39,28.312
2018-05-22,02:32:45,28.312
2018-05-22,02:32:51,28.375
2018-05-22,02:32:57,28.375
2018-05-22,02:33:03,28.375
2018-05-22,02:33:09,28.375
2018-05-22,02:33:15,28.437
2018-05-22,02:33:21,28.437
2018-05-22,02:33:27,28.375
2018-05-22,02:33:32,28.312
2018-05-22,02:33:38,28.25
2018-05-22,02:33:44,28.187
2018-05-22,02:33:50,28.187
2018-05-22,02:33:56,28.125
2018-05-22,02:34:02,28.125
2018-05-22,02:34:08,28.062
2018-05-22,02:34:14,28.062
2018-05-22,02:34:20,28.125
2018-05-22,02:34:26,28.125
2018-05-22,02:34:32,28.187
2018-05-22,02:34:38,28.187
2018-05-22,02:34:44,28.25
2018-05-22,02:34:49,28.25
2018-05-22,02:34:55,28.312
2018-05-22,02:35:01,28.312
2018-05-22,02:35:07,28.312
2018-05-22,02:35:13,28.375
2018-05-22,02:35:19,28.375
2018-05-22,02:35:25,28.375
2018-05-22,02:35:31,28.437
2018-05-22,02:35:37,28.437
2018-05-22,02:35:43,28.437
2018-05-22,02:35:49,28.5
2018-05-22,02:35:55,28.5
2018-05-22,02:36:00,28.5
2018-05-22,02:36:06,28.5
2018-05-22,02:36:12,28.5
2018-05-22,02:36:18,28.5
2018-05-22,02:36:24,28.5
2018-05-22,02:36:30,28.5
2018-05-22,02:36:36,28.5
2018-05-22,02:36:42,28.5
2018-05-22,02:36:48,28.5
2018-05-22,02:36:54,28.562
2018-05-22,02:37:00,28.625
2018-05-22,02:37:06,28.875
2018-05-22,02:37:12,29.375
2018-05-22,02:37:17,29.25
2018-05-22,02:37:23,29.187
2018-05-22,02:37:29,29.062
2018-05-22,02:37:35,29.0
2018-05-22,02:37:41,29.0
2018-05-22,02:37:47,28.937
2018-05-22,02:37:53,28.875
2018-05-22,02:37:59,28.875
2018-05-22,02:38:05,29.312
2018-05-22,02:38:11,29.812
