date,time,temperature
5/23/18,0:00:05,21.187
5/23/18,0:00:11,21.187
5/23/18,0:00:17,21.187
5/23/18,0:00:23,21.187
5/23/18,0:00:29,21.187
5/23/18,0:00:35,21.187
5/23/18,0:00:41,21.187
5/23/18,0:00:47,21.187
5/23/18,0:00:53,21.187
5/23/18,0:00:59,21.187
5/23/18,0:01:04,21.187
5/23/18,0:01:10,21.187
5/23/18,0:01:16,21.187
5/23/18,0:01:22,21.187
5/23/18,0:01:28,21.25
5/23/18,0:01:34,21.25
5/23/18,0:01:40,21.25
5/23/18,0:01:46,21.25
5/23/18,0:01:52,21.25
5/23/18,0:01:58,21.25
5/23/18,0:02:04,21.25
5/23/18,0:02:10,21.25
5/23/18,0:02:15,21.25
5/23/18,0:02:21,21.25
5/23/18,0:02:27,21.25
5/23/18,0:02:33,21.25
5/23/18,0:02:39,21.25
5/23/18,0:02:45,21.25
5/23/18,0:02:51,21.25
5/23/18,0:02:57,21.25
5/23/18,0:03:03,21.25
5/23/18,0:03:09,21.25
5/23/18,0:03:15,21.25
5/23/18,0:03:21,21.25
5/23/18,0:03:27,21.25
5/23/18,0:03:32,21.25
5/23/18,0:03:38,21.25
5/23/18,0:03:44,21.25
5/23/18,0:03:50,21.25
5/23/18,0:03:56,21.25
5/23/18,0:04:02,21.25
5/23/18,0:04:08,21.25
5/23/18,0:04:14,21.25
5/23/18,0:04:20,21.312
5/23/18,0:04:26,21.25
5/23/18,0:04:32,21.312
5/23/18,0:04:38,21.312
5/23/18,0:04:43,21.25
5/23/18,0:04:49,21.312
5/23/18,0:04:55,21.312
5/23/18,0:05:01,21.312
5/23/18,0:05:07,21.312
5/23/18,0:05:13,21.312
5/23/18,0:05:19,21.312
5/23/18,0:05:25,21.312
5/23/18,0:05:31,21.312
5/23/18,0:05:37,21.312
5/23/18,0:05:43,21.312
5/23/18,0:05:49,21.312
5/23/18,0:05:55,21.312
5/23/18,0:06:00,21.312
5/23/18,0:06:06,21.312
5/23/18,0:06:12,21.312
5/23/18,0:06:18,21.312
5/23/18,0:06:24,21.312
5/23/18,0:06:30,21.312
5/23/18,0:06:36,21.312
5/23/18,0:06:42,21.312
5/23/18,0:06:48,21.312
5/23/18,0:06:54,21.312
5/23/18,0:07:00,21.312
5/23/18,0:07:06,21.312
5/23/18,0:07:11,21.312
5/23/18,0:07:17,21.312
5/23/18,0:07:23,21.312
5/23/18,0:07:29,21.312
5/23/18,0:07:35,21.312
5/23/18,0:07:41,21.312
5/23/18,0:07:47,21.312
5/23/18,0:07:53,21.312
5/23/18,0:07:59,21.312
5/23/18,0:08:05,21.312
5/23/18,0:08:11,21.312
5/23/18,0:08:17,21.312
5/23/18,0:08:23,21.312
5/23/18,0:08:28,21.375
5/23/18,0:08:34,21.375
5/23/18,0:08:40,21.375
5/23/18,0:08:46,21.375
5/23/18,0:08:52,21.375
5/23/18,0:08:58,21.375
5/23/18,0:09:04,21.375
5/23/18,0:09:10,21.375
5/23/18,0:09:16,21.375
5/23/18,0:09:22,21.375
5/23/18,0:09:28,21.375
5/23/18,0:09:34,21.375
5/23/18,0:09:39,21.375
