date,time,temperature
5/22/18,0:09:18,28
5/22/18,0:11:19,28.062
5/22/18,0:13:20,28.062
5/22/18,0:15:21,28.125
5/22/18,0:17:22,28.187
5/22/18,0:19:23,28.25
5/22/18,0:21:24,28.312
5/22/18,0:23:25,28.5
5/22/18,0:25:26,28.562
5/22/18,0:27:27,28.5
5/22/18,0:29:28,28.562
5/22/18,0:31:28,28.812
5/22/18,0:33:29,28.625
5/22/18,0:35:30,28.562
5/22/18,0:37:31,28.5
5/22/18,0:39:32,26.562
5/22/18,0:41:33,26.437
5/22/18,0:43:34,25.5
5/22/18,0:45:35,25.875
5/22/18,0:47:36,26.687
5/22/18,0:49:37,25.187
5/22/18,0:51:38,25.562
5/22/18,0:53:39,25.75
5/22/18,0:55:40,26.437
5/22/18,0:57:41,26.437
5/22/18,0:59:42,26.437
5/22/18,1:01:43,26.437
5/22/18,1:03:44,26.437
5/22/18,1:05:45,26.437
5/22/18,1:07:46,26.437
5/22/18,1:09:47,26.437
5/22/18,1:11:48,26.437
5/22/18,1:13:49,26.437
5/22/18,1:15:50,26.437
5/22/18,1:17:51,26.437
5/22/18,1:19:52,26.437
5/22/18,1:21:52,26.437
5/22/18,1:23:53,26.437
5/22/18,1:25:54,26.437
5/22/18,1:27:55,26.437
5/22/18,1:29:56,26.437
5/22/18,1:31:57,26.437
5/22/18,1:33:58,26.437
5/22/18,1:35:59,26.437
5/22/18,1:38:00,26.437
5/22/18,1:40:01,26.437
5/22/18,1:42:02,26.437
5/22/18,1:44:03,26.437
5/22/18,1:46:04,26.437
5/22/18,1:48:05,26.437
5/22/18,1:50:06,26.437
5/22/18,1:52:07,26.437
5/22/18,1:54:08,26.437
5/22/18,1:56:09,26.5
5/22/18,1:58:10,26.5
5/22/18,2:00:11,26.5
5/22/18,2:02:12,26.5
5/22/18,2:04:13,26.5
5/22/18,2:06:14,26.5
5/22/18,2:08:15,26.437
5/22/18,2:10:16,26.5
5/22/18,2:12:16,26.5
5/22/18,2:14:17,26.5
5/22/18,2:16:18,26.5
5/22/18,2:18:19,26.5
5/22/18,2:20:20,26.5
5/22/18,2:22:21,26.5
5/22/18,2:24:22,26.5
5/22/18,2:26:23,26.5
5/22/18,2:28:24,26.5
5/22/18,2:30:25,26.5
5/22/18,2:32:26,26.5
5/22/18,2:34:27,26.5
5/22/18,2:36:28,26.5
5/22/18,2:38:29,26.5
5/22/18,2:40:30,26.5
5/22/18,2:42:31,26.5
5/22/18,2:44:32,26.5
5/22/18,2:46:33,26.5
